variant,cases,pct
A_SUBMITTED->A_PARTLYSUBMITTED->A_PREACCEPTED->W_Afhandelen leads->W_Completeren aanvraag->W_Completeren aanvraag->W_Completeren aanvraag->W_Completeren aanvraag->A_DECLINED->W_Completeren aanvraag,30,0.0
A_SUBMITTED->A_PARTLYSUBMITTED->A_PREACCEPTED->W_Afhandelen leads->W_Completeren aanvraag->W_Completeren aanvraag->W_Completeren aanvraag->W_Completeren aanvraag->W_Completeren aanvraag->A_DECLINED->W_Completeren aanvraag,28,0.0
A_SUBMITTED->A_PARTLYSUBMITTED->A_PREACCEPTED->W_Completeren aanvraag->W_Completeren aanvraag->W_Completeren aanvraag->W_Completeren aanvraag->A_CANCELLED->W_Completeren aanvraag,28,0.0
A_SUBMITTED->A_PARTLYSUBMITTED->A_PREACCEPTED->W_Completeren aanvraag->W_Completeren aanvraag->W_Completeren aanvraag->W_Completeren aanvraag->W_Completeren aanvraag->A_CANCELLED->W_Completeren aanvraag,27,0.0
A_SUBMITTED->A_PARTLYSUBMITTED->A_PREACCEPTED->W_Completeren aanvraag->W_Completeren aanvraag->W_Completeren aanvraag->W_Completeren aanvraag->W_Completeren aanvraag->W_Completeren aanvraag->W_Completeren aanvraag->W_Completeren aanvraag->W_Completeren aanvraag->W_Completeren aanvraag->W_Completeren aanvraag->W_Completeren aanvraag->W_Completeren aanvraag->W_Completeren aanvraag->A_CANCELLED,27,0.0
A_SUBMITTED->A_PARTLYSUBMITTED->A_PREACCEPTED->W_Completeren aanvraag->W_Completeren aanvraag->W_Completeren aanvraag->W_Completeren aanvraag->W_Completeren aanvraag->W_Completeren aanvraag->W_Completeren aanvraag->W_Completeren aanvraag->W_Completeren aanvraag->W_Completeren aanvraag->W_Completeren aanvraag->W_Completeren aanvraag->A_CANCELLED,25,0.0
A_SUBMITTED->A_PARTLYSUBMITTED->A_PREACCEPTED->W_Afhandelen leads->W_Completeren aanvraag->W_Completeren aanvraag->A_CANCELLED->W_Completeren aanvraag,21,0.0
A_SUBMITTED->A_PARTLYSUBMITTED->A_PREACCEPTED->W_Completeren aanvraag->W_Completeren aanvraag->W_Completeren aanvraag->W_Completeren aanvraag->W_Completeren aanvraag->W_Completeren aanvraag->W_Completeren aanvraag->W_Completeren aanvraag->W_Completeren aanvraag->W_Completeren aanvraag->A_CANCELLED,19,0.0
A_SUBMITTED->A_PARTLYSUBMITTED->A_PREACCEPTED->W_Completeren aanvraag->W_Completeren aanvraag->W_Completeren aanvraag->W_Completeren aanvraag->W_Completeren aanvraag->W_Completeren aanvraag->W_Completeren aanvraag->W_Completeren aanvraag->W_Completeren aanvraag->W_Completeren aanvraag->W_Completeren aanvraag->A_CANCELLED,19,0.0
A_SUBMITTED->A_PARTLYSUBMITTED->W_Afhandelen leads->A_PREACCEPTED->W_Afhandelen leads->W_Completeren aanvraag->A_DECLINED->W_Completeren aanvraag,19,0.0
A_SUBMITTED->A_PARTLYSUBMITTED->A_PREACCEPTED->A_ACCEPTED->O_SELECTED->A_FINALIZED->O_CREATED->O_SENT->W_Completeren aanvraag->W_Nabellen offertes->O_CANCELLED->A_CANCELLED->W_Nabellen offertes,18,0.0
A_SUBMITTED->A_PARTLYSUBMITTED->A_PREACCEPTED->W_Completeren aanvraag->W_Completeren aanvraag->W_Completeren aanvraag->W_Completeren aanvraag->W_Completeren aanvraag->W_Completeren aanvraag->W_Completeren aanvraag->W_Completeren aanvraag->W_Completeren aanvraag->A_CANCELLED,18,0.0
A_SUBMITTED->A_PARTLYSUBMITTED->A_PREACCEPTED->W_Completeren aanvraag->W_Completeren aanvraag->W_Completeren aanvraag->W_Completeren aanvraag->W_Completeren aanvraag->W_Completeren aanvraag->A_CANCELLED->W_Completeren aanvraag,17,0.0
A_SUBMITTED->A_PARTLYSUBMITTED->A_PREACCEPTED->W_Completeren aanvraag->W_Completeren aanvraag->W_Completeren aanvraag->W_Completeren aanvraag->W_Completeren aanvraag->W_Completeren aanvraag->W_Completeren aanvraag->W_Completeren aanvraag->W_Completeren aanvraag->W_Completeren aanvraag->W_Completeren aanvraag->W_Completeren aanvraag->W_Completeren aanvraag->A_CANCELLED,17,0.0
A_SUBMITTED->A_PARTLYSUBMITTED->A_PREACCEPTED->A_ACCEPTED->O_SELECTED->A_FINALIZED->O_CREATED->O_SENT->W_Completeren aanvraag->O_CANCELLED->A_CANCELLED->W_Nabellen offertes,16,0.0
A_SUBMITTED->A_PARTLYSUBMITTED->A_PREACCEPTED->A_ACCEPTED->O_SELECTED->A_FINALIZED->O_CREATED->O_SENT->W_Completeren aanvraag->W_Nabellen offertes->W_Nabellen offertes->A_CANCELLED->O_CANCELLED->W_Nabellen offertes,16,0.0
A_SUBMITTED->A_PARTLYSUBMITTED->A_PREACCEPTED->W_Afhandelen leads->W_Completeren aanvraag->W_Completeren aanvraag->W_Completeren aanvraag->A_CANCELLED->W_Completeren aanvraag,16,0.0
A_SUBMITTED->A_PARTLYSUBMITTED->A_PREACCEPTED->W_Completeren aanvraag->W_Completeren aanvraag->W_Completeren aanvraag->W_Completeren aanvraag->W_Completeren aanvraag->A_CANCELLED,16,0.0
A_SUBMITTED->A_PARTLYSUBMITTED->A_PREACCEPTED->A_ACCEPTED->A_CANCELLED->W_Completeren aanvraag,15,0.0
A_SUBMITTED->A_PARTLYSUBMITTED->A_PREACCEPTED->A_ACCEPTED->O_SELECTED->A_FINALIZED->O_CREATED->O_SENT->W_Completeren aanvraag->A_CANCELLED->O_CANCELLED->W_Nabellen offertes,15,0.0
A_SUBMITTED->A_PARTLYSUBMITTED->A_PREACCEPTED->A_ACCEPTED->O_SELECTED->A_FINALIZED->O_CREATED->O_SENT->W_Completeren aanvraag->W_Nabellen offertes->A_CANCELLED->O_CANCELLED->W_Nabellen offertes,15,0.0
A_SUBMITTED->A_PARTLYSUBMITTED->A_PREACCEPTED->W_Afhandelen leads->W_Completeren aanvraag->W_Completeren aanvraag->W_Completeren aanvraag->W_Completeren aanvraag->W_Completeren aanvraag->W_Completeren aanvraag->W_Completeren aanvraag->W_Completeren aanvraag->W_Completeren aanvraag->W_Completeren aanvraag->A_CANCELLED,15,0.0
A_SUBMITTED->A_PARTLYSUBMITTED->A_PREACCEPTED->W_Afhandelen leads->W_Completeren aanvraag->W_Completeren aanvraag->W_Completeren aanvraag->W_Completeren aanvraag->W_Completeren aanvraag->W_Completeren aanvraag->W_Completeren aanvraag->W_Completeren aanvraag->W_Completeren aanvraag->W_Completeren aanvraag->W_Completeren aanvraag->W_Completeren aanvraag->W_Completeren aanvraag->W_Completeren aanvraag->A_CANCELLED,15,0.0
A_SUBMITTED->A_PARTLYSUBMITTED->A_PREACCEPTED->W_Completeren aanvraag->W_Completeren aanvraag->W_Completeren aanvraag->W_Completeren aanvraag->W_Completeren aanvraag->W_Completeren aanvraag->W_Completeren aanvraag->A_CANCELLED->W_Completeren aanvraag,15,0.0
A_SUBMITTED->A_PARTLYSUBMITTED->A_PREACCEPTED->A_ACCEPTED->O_SELECTED->A_FINALIZED->O_CREATED->O_SENT->W_Completeren aanvraag->W_Nabellen offertes->W_Nabellen offertes->W_Nabellen offertes->O_CANCELLED->A_CANCELLED->W_Nabellen offertes,14,0.0
A_SUBMITTED->A_PARTLYSUBMITTED->A_PREACCEPTED->W_Completeren aanvraag->W_Completeren aanvraag->W_Completeren aanvraag->W_Completeren aanvraag->A_DECLINED->W_Completeren aanvraag,14,0.0
A_SUBMITTED->A_PARTLYSUBMITTED->A_PREACCEPTED->W_Completeren aanvraag->W_Completeren aanvraag->W_Completeren aanvraag->W_Completeren aanvraag->W_Completeren aanvraag->W_Completeren aanvraag->W_Completeren aanvraag->A_CANCELLED,14,0.0
A_SUBMITTED->A_PARTLYSUBMITTED->A_PREACCEPTED->W_Completeren aanvraag->W_Completeren aanvraag->W_Completeren aanvraag->W_Completeren aanvraag->W_Completeren aanvraag->W_Completeren aanvraag->W_Completeren aanvraag->W_Completeren aanvraag->W_Completeren aanvraag->W_Completeren aanvraag->W_Completeren aanvraag->W_Completeren aanvraag->W_Completeren aanvraag->W_Completeren aanvraag->W_Completeren aanvraag->A_CANCELLED,14,0.0
A_SUBMITTED->A_PARTLYSUBMITTED->A_PREACCEPTED->W_Afhandelen leads->W_Completeren aanvraag->W_Completeren aanvraag->W_Completeren aanvraag->W_Completeren aanvraag->W_Completeren aanvraag->W_Completeren aanvraag->W_Completeren aanvraag->A_DECLINED->W_Completeren aanvraag,13,0.0
A_SUBMITTED->A_PARTLYSUBMITTED->A_PREACCEPTED->W_Completeren aanvraag->W_Completeren aanvraag->W_Completeren aanvraag->W_Completeren aanvraag->A_CANCELLED,13,0.0
A_SUBMITTED->A_PARTLYSUBMITTED->A_PREACCEPTED->A_ACCEPTED->A_FINALIZED->O_SELECTED->O_CREATED->O_SENT->W_Completeren aanvraag->W_Nabellen offertes->W_Nabellen offertes->A_CANCELLED->O_CANCELLED->W_Nabellen offertes,12,0.0
A_SUBMITTED->A_PARTLYSUBMITTED->A_PREACCEPTED->A_ACCEPTED->A_FINALIZED->O_SELECTED->O_CREATED->O_SENT->W_Completeren aanvraag->W_Nabellen offertes->W_Nabellen offertes->O_CANCELLED->A_CANCELLED->W_Nabellen offertes,12,0.0
A_SUBMITTED->A_PARTLYSUBMITTED->A_PREACCEPTED->A_ACCEPTED->O_SELECTED->A_FINALIZED->O_CREATED->O_SENT->W_Completeren aanvraag->W_Nabellen offertes->W_Nabellen offertes->W_Nabellen offertes,12,0.0
A_SUBMITTED->A_PARTLYSUBMITTED->A_PREACCEPTED->W_Afhandelen leads->W_Completeren aanvraag->W_Completeren aanvraag->W_Completeren aanvraag->W_Completeren aanvraag->W_Completeren aanvraag->A_CANCELLED->W_Completeren aanvraag,12,0.0
A_SUBMITTED->A_PARTLYSUBMITTED->A_PREACCEPTED->W_Afhandelen leads->W_Completeren aanvraag->W_Completeren aanvraag->W_Completeren aanvraag->W_Completeren aanvraag->W_Completeren aanvraag->W_Completeren aanvraag->A_DECLINED->W_Completeren aanvraag,12,0.0
A_SUBMITTED->A_PARTLYSUBMITTED->A_PREACCEPTED->W_Completeren aanvraag->A_ACCEPTED->A_FINALIZED->O_SELECTED->O_CREATED->O_SENT->W_Completeren aanvraag->W_Nabellen offertes->A_CANCELLED->O_CANCELLED->W_Nabellen offertes,12,0.0
A_SUBMITTED->A_PARTLYSUBMITTED->A_PREACCEPTED->W_Completeren aanvraag->A_ACCEPTED->O_SELECTED->A_FINALIZED->O_CREATED->O_SENT->W_Completeren aanvraag->A_CANCELLED->O_CANCELLED->W_Nabellen offertes,12,0.0
A_SUBMITTED->A_PARTLYSUBMITTED->A_PREACCEPTED->W_Completeren aanvraag->A_ACCEPTED->O_SELECTED->A_FINALIZED->O_CREATED->O_SENT->W_Completeren aanvraag->W_Nabellen offertes->O_CANCELLED->A_CANCELLED->W_Nabellen offertes,12,0.0
A_SUBMITTED->A_PARTLYSUBMITTED->A_PREACCEPTED->W_Completeren aanvraag->W_Completeren aanvraag->W_Completeren aanvraag->W_Completeren aanvraag->W_Completeren aanvraag->W_Completeren aanvraag->W_Completeren aanvraag->W_Completeren aanvraag->A_CANCELLED->W_Completeren aanvraag,12,0.0
A_SUBMITTED->A_PARTLYSUBMITTED->A_PREACCEPTED->W_Completeren aanvraag->W_Completeren aanvraag->W_Completeren aanvraag->W_Completeren aanvraag->W_Completeren aanvraag->W_Completeren aanvraag->W_Completeren aanvraag->W_Completeren aanvraag->W_Completeren aanvraag->W_Completeren aanvraag->W_Completeren aanvraag->A_CANCELLED->W_Completeren aanvraag,12,0.0
A_SUBMITTED->A_PARTLYSUBMITTED->A_PREACCEPTED->W_Completeren aanvraag->W_Completeren aanvraag->W_Completeren aanvraag->W_Completeren aanvraag->W_Completeren aanvraag->W_Completeren aanvraag->W_Completeren aanvraag->W_Completeren aanvraag->W_Completeren aanvraag->W_Completeren aanvraag->W_Completeren aanvraag->W_Completeren aanvraag->W_Completeren aanvraag->W_Completeren aanvraag->W_Completeren aanvraag->W_Completeren aanvraag->A_CANCELLED,12,0.0
A_SUBMITTED->A_PARTLYSUBMITTED->W_Afhandelen leads->A_PREACCEPTED->W_Afhandelen leads->W_Completeren aanvraag->W_Completeren aanvraag->W_Completeren aanvraag->A_DECLINED->W_Completeren aanvraag,12,0.0
A_SUBMITTED->A_PARTLYSUBMITTED->W_Afhandelen leads->W_Afhandelen leads->W_Afhandelen leads->A_DECLINED->W_Afhandelen leads,12,0.0
A_SUBMITTED->A_PARTLYSUBMITTED->A_PREACCEPTED->A_ACCEPTED->A_FINALIZED->O_SELECTED->O_CREATED->O_SENT->W_Completeren aanvraag->A_CANCELLED->O_CANCELLED->W_Nabellen offertes,11,0.0
A_SUBMITTED->A_PARTLYSUBMITTED->A_PREACCEPTED->A_ACCEPTED->A_FINALIZED->O_SELECTED->O_CREATED->O_SENT->W_Completeren aanvraag->W_Nabellen offertes->A_CANCELLED->O_CANCELLED->W_Nabellen offertes,11,0.0
A_SUBMITTED->A_PARTLYSUBMITTED->A_PREACCEPTED->W_Afhandelen leads->W_Completeren aanvraag->W_Completeren aanvraag->W_Completeren aanvraag->W_Completeren aanvraag->W_Completeren aanvraag->W_Completeren aanvraag->W_Completeren aanvraag->W_Completeren aanvraag->W_Completeren aanvraag->A_CANCELLED,11,0.0
A_SUBMITTED->A_PARTLYSUBMITTED->A_PREACCEPTED->W_Afhandelen leads->W_Completeren aanvraag->W_Completeren aanvraag->W_Completeren aanvraag->W_Completeren aanvraag->W_Completeren aanvraag->W_Completeren aanvraag->W_Completeren aanvraag->W_Completeren aanvraag->W_Completeren aanvraag->W_Completeren aanvraag->W_Completeren aanvraag->W_Completeren aanvraag->W_Completeren aanvraag->W_Completeren aanvraag->W_Completeren aanvraag->A_CANCELLED,11,0.0
A_SUBMITTED->A_PARTLYSUBMITTED->A_PREACCEPTED->W_Completeren aanvraag->W_Completeren aanvraag->W_Completeren aanvraag->W_Completeren aanvraag->W_Completeren aanvraag->W_Completeren aanvraag->A_CANCELLED,11,0.0
A_SUBMITTED->A_PARTLYSUBMITTED->W_Beoordelen fraude->W_Beoordelen fraude->A_DECLINED->W_Beoordelen fraude,11,0.0
A_SUBMITTED->A_PARTLYSUBMITTED->A_PREACCEPTED->A_ACCEPTED->A_FINALIZED->O_SELECTED->O_CREATED->O_SENT->W_Completeren aanvraag->W_Nabellen offertes->O_SENT_BACK->W_Nabellen offertes->O_DECLINED->A_DECLINED->W_Valideren aanvraag,10,0.0
A_SUBMITTED->A_PARTLYSUBMITTED->A_PREACCEPTED->A_ACCEPTED->O_SELECTED->A_FINALIZED->O_CREATED->O_SENT->W_Completeren aanvraag->W_Nabellen offertes->W_Nabellen offertes->O_CANCELLED->A_CANCELLED->W_Nabellen offertes,10,0.0
A_SUBMITTED->A_PARTLYSUBMITTED->A_PREACCEPTED->W_Completeren aanvraag->A_ACCEPTED->A_FINALIZED->O_SELECTED->O_CREATED->O_SENT->W_Completeren aanvraag->O_CANCELLED->A_CANCELLED->W_Nabellen offertes,10,0.0
A_SUBMITTED->A_PARTLYSUBMITTED->A_PREACCEPTED->W_Completeren aanvraag->W_Completeren aanvraag->W_Completeren aanvraag->W_Completeren aanvraag->W_Completeren aanvraag->A_DECLINED->W_Completeren aanvraag,10,0.0
A_SUBMITTED->A_PARTLYSUBMITTED->A_PREACCEPTED->A_ACCEPTED->A_FINALIZED->O_SELECTED->O_CREATED->O_SENT->W_Completeren aanvraag->W_Nabellen offertes->O_CANCELLED->A_CANCELLED->W_Nabellen offertes,9,0.0
A_SUBMITTED->A_PARTLYSUBMITTED->A_PREACCEPTED->W_Afhandelen leads->A_ACCEPTED->A_DECLINED->W_Completeren aanvraag,9,0.0
A_SUBMITTED->A_PARTLYSUBMITTED->A_PREACCEPTED->W_Afhandelen leads->W_Completeren aanvraag->W_Completeren aanvraag->W_Completeren aanvraag->W_Completeren aanvraag->A_CANCELLED,9,0.0
A_SUBMITTED->A_PARTLYSUBMITTED->A_PREACCEPTED->W_Afhandelen leads->W_Completeren aanvraag->W_Completeren aanvraag->W_Completeren aanvraag->W_Completeren aanvraag->W_Completeren aanvraag->W_Completeren aanvraag->W_Completeren aanvraag->A_CANCELLED->W_Completeren aanvraag,9,0.0
A_SUBMITTED->A_PARTLYSUBMITTED->A_PREACCEPTED->W_Afhandelen leads->W_Completeren aanvraag->W_Completeren aanvraag->W_Completeren aanvraag->W_Completeren aanvraag->W_Completeren aanvraag->W_Completeren aanvraag->W_Completeren aanvraag->W_Completeren aanvraag->W_Completeren aanvraag->W_Completeren aanvraag->W_Completeren aanvraag->W_Completeren aanvraag->A_CANCELLED,9,0.0
A_SUBMITTED->A_PARTLYSUBMITTED->A_PREACCEPTED->W_Completeren aanvraag->A_ACCEPTED->O_SELECTED->A_FINALIZED->O_CREATED->O_SENT->W_Completeren aanvraag->W_Nabellen offertes->A_CANCELLED->O_CANCELLED->W_Nabellen offertes,9,0.0
A_SUBMITTED->A_PARTLYSUBMITTED->A_PREACCEPTED->W_Completeren aanvraag->W_Completeren aanvraag->W_Completeren aanvraag->W_Completeren aanvraag->W_Completeren aanvraag->W_Completeren aanvraag->W_Completeren aanvraag->W_Completeren aanvraag->A_CANCELLED,9,0.0
A_SUBMITTED->A_PARTLYSUBMITTED->A_PREACCEPTED->W_Completeren aanvraag->W_Completeren aanvraag->W_Completeren aanvraag->W_Completeren aanvraag->W_Completeren aanvraag->W_Completeren aanvraag->W_Completeren aanvraag->W_Completeren aanvraag->W_Completeren aanvraag->A_CANCELLED->W_Completeren aanvraag,9,0.0
A_SUBMITTED->A_PARTLYSUBMITTED->A_PREACCEPTED->A_ACCEPTED->O_SELECTED->A_FINALIZED->O_CREATED->O_SENT->W_Completeren aanvraag->W_Nabellen offertes->O_SENT_BACK->W_Nabellen offertes->A_DECLINED->O_DECLINED->W_Valideren aanvraag,8,0.0
A_SUBMITTED->A_PARTLYSUBMITTED->A_PREACCEPTED->A_ACCEPTED->O_SELECTED->A_FINALIZED->O_CREATED->O_SENT->W_Completeren aanvraag->W_Nabellen offertes->W_Nabellen offertes->W_Nabellen offertes->W_Nabellen offertes->A_CANCELLED->O_CANCELLED->W_Nabellen offertes,8,0.0
A_SUBMITTED->A_PARTLYSUBMITTED->A_PREACCEPTED->A_ACCEPTED->O_SELECTED->A_FINALIZED->O_CREATED->O_SENT->W_Completeren aanvraag->W_Nabellen offertes->W_Nabellen offertes->W_Nabellen offertes->W_Nabellen offertes->O_CANCELLED->A_CANCELLED->W_Nabellen offertes,8,0.0
A_SUBMITTED->A_PARTLYSUBMITTED->A_PREACCEPTED->W_Afhandelen leads->W_Completeren aanvraag->W_Completeren aanvraag->W_Completeren aanvraag->W_Completeren aanvraag->A_CANCELLED->W_Completeren aanvraag,8,0.0
A_SUBMITTED->A_PARTLYSUBMITTED->A_PREACCEPTED->W_Completeren aanvraag->A_ACCEPTED->A_CANCELLED->W_Completeren aanvraag,8,0.0
A_SUBMITTED->A_PARTLYSUBMITTED->A_PREACCEPTED->W_Completeren aanvraag->W_Completeren aanvraag->W_Completeren aanvraag->W_Completeren aanvraag->W_Completeren aanvraag->W_Completeren aanvraag->W_Completeren aanvraag->W_Completeren aanvraag->W_Completeren aanvraag->W_Completeren aanvraag,8,0.0
A_SUBMITTED->A_PARTLYSUBMITTED->A_PREACCEPTED->W_Completeren aanvraag->W_Completeren aanvraag->W_Completeren aanvraag->W_Completeren aanvraag->W_Completeren aanvraag->W_Completeren aanvraag->W_Completeren aanvraag->W_Completeren aanvraag->W_Completeren aanvraag->W_Completeren aanvraag->A_CANCELLED->W_Completeren aanvraag,8,0.0
A_SUBMITTED->A_PARTLYSUBMITTED->A_PREACCEPTED->A_ACCEPTED->A_FINALIZED->O_SELECTED->O_CREATED->O_SENT->W_Completeren aanvraag->O_SENT_BACK->W_Nabellen offertes->A_APPROVED->O_ACCEPTED->A_REGISTERED->A_ACTIVATED->W_Valideren aanvraag,7,0.0
A_SUBMITTED->A_PARTLYSUBMITTED->A_PREACCEPTED->A_ACCEPTED->A_FINALIZED->O_SELECTED->O_CREATED->O_SENT->W_Completeren aanvraag->W_Nabellen offertes->W_Nabellen offertes->W_Nabellen offertes->W_Nabellen offertes->W_Nabellen offertes->W_Nabellen offertes->W_Nabellen offertes->A_CANCELLED->O_CANCELLED,7,0.0
A_SUBMITTED->A_PARTLYSUBMITTED->A_PREACCEPTED->A_ACCEPTED->O_SELECTED->A_FINALIZED->O_CREATED->O_SENT->W_Completeren aanvraag->W_Nabellen offertes->W_Nabellen offertes->O_SENT_BACK->W_Nabellen offertes->O_DECLINED->A_DECLINED->W_Valideren aanvraag,7,0.0
A_SUBMITTED->A_PARTLYSUBMITTED->A_PREACCEPTED->A_ACCEPTED->O_SELECTED->A_FINALIZED->O_CREATED->O_SENT->W_Completeren aanvraag->W_Nabellen offertes->W_Nabellen offertes->W_Nabellen offertes->W_Nabellen offertes->W_Nabellen offertes->O_CANCELLED->A_CANCELLED->W_Nabellen offertes,7,0.0
A_SUBMITTED->A_PARTLYSUBMITTED->A_PREACCEPTED->A_ACCEPTED->O_SELECTED->A_FINALIZED->O_CREATED->O_SENT->W_Completeren aanvraag->W_Nabellen offertes->W_Nabellen offertes->W_Nabellen offertes->W_Nabellen offertes->W_Nabellen offertes->W_Nabellen offertes->W_Nabellen offertes->W_Nabellen offertes->W_Nabellen offertes->O_CANCELLED->A_CANCELLED,7,0.0
A_SUBMITTED->A_PARTLYSUBMITTED->A_PREACCEPTED->W_Afhandelen leads->A_ACCEPTED->O_SELECTED->A_FINALIZED->O_CREATED->O_SENT->W_Completeren aanvraag->O_CANCELLED->A_CANCELLED->W_Nabellen offertes,7,0.0
A_SUBMITTED->A_PARTLYSUBMITTED->A_PREACCEPTED->W_Afhandelen leads->W_Completeren aanvraag->W_Completeren aanvraag->W_Completeren aanvraag->W_Completeren aanvraag->W_Completeren aanvraag->W_Completeren aanvraag->W_Completeren aanvraag->W_Completeren aanvraag->A_CANCELLED,7,0.0
A_SUBMITTED->A_PARTLYSUBMITTED->A_PREACCEPTED->W_Afhandelen leads->W_Completeren aanvraag->W_Completeren aanvraag->W_Completeren aanvraag->W_Completeren aanvraag->W_Completeren aanvraag->W_Completeren aanvraag->W_Completeren aanvraag->W_Completeren aanvraag->A_DECLINED->W_Completeren aanvraag,7,0.0
A_SUBMITTED->A_PARTLYSUBMITTED->A_PREACCEPTED->W_Afhandelen leads->W_Completeren aanvraag->W_Completeren aanvraag->W_Completeren aanvraag->W_Completeren aanvraag->W_Completeren aanvraag->W_Completeren aanvraag->W_Completeren aanvraag->W_Completeren aanvraag->W_Completeren aanvraag->W_Completeren aanvraag->W_Completeren aanvraag->W_Completeren aanvraag->W_Completeren aanvraag->A_DECLINED->W_Completeren aanvraag,7,0.0
A_SUBMITTED->A_PARTLYSUBMITTED->A_PREACCEPTED->W_Completeren aanvraag->A_ACCEPTED->O_SELECTED->A_FINALIZED->O_CREATED->O_SENT->W_Completeren aanvraag->O_CANCELLED->A_CANCELLED->W_Nabellen offertes,7,0.0
A_SUBMITTED->A_PARTLYSUBMITTED->A_PREACCEPTED->W_Completeren aanvraag->A_ACCEPTED->O_SELECTED->A_FINALIZED->O_CREATED->O_SENT->W_Completeren aanvraag->W_Nabellen offertes->W_Nabellen offertes->A_CANCELLED->O_CANCELLED->W_Nabellen offertes,7,0.0
A_SUBMITTED->A_PARTLYSUBMITTED->A_PREACCEPTED->W_Completeren aanvraag->A_ACCEPTED->O_SELECTED->A_FINALIZED->O_CREATED->O_SENT->W_Completeren aanvraag->W_Nabellen offertes->W_Nabellen offertes->W_Nabellen offertes->W_Nabellen offertes->A_CANCELLED->O_CANCELLED->W_Nabellen offertes,7,0.0
A_SUBMITTED->A_PARTLYSUBMITTED->A_PREACCEPTED->W_Completeren aanvraag->W_Completeren aanvraag->A_ACCEPTED->O_SELECTED->A_FINALIZED->O_CREATED->O_SENT->W_Completeren aanvraag->O_CANCELLED->A_CANCELLED->W_Nabellen offertes,7,0.0
A_SUBMITTED->A_PARTLYSUBMITTED->A_PREACCEPTED->W_Completeren aanvraag->W_Completeren aanvraag->W_Completeren aanvraag->A_CANCELLED,7,0.0
A_SUBMITTED->A_PARTLYSUBMITTED->W_Afhandelen leads->A_PREACCEPTED->W_Afhandelen leads->W_Completeren aanvraag->W_Completeren aanvraag->A_DECLINED->W_Completeren aanvraag,7,0.0
A_SUBMITTED->A_PARTLYSUBMITTED->W_Afhandelen leads->A_PREACCEPTED->W_Afhandelen leads->W_Completeren aanvraag->W_Completeren aanvraag->W_Completeren aanvraag->W_Completeren aanvraag->A_DECLINED->W_Completeren aanvraag,7,0.0
